时间（周）,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）
202125,0.757423157,1.536521505,-0.021675191
202126,0.71011036,1.489208708,-0.068987988
202127,0.661208633,1.440306981,-0.117889715
202128,0.905791517,1.684889865,0.126693168
202129,0.723031088,1.502129436,-0.056067261
202130,0.693110161,1.472208509,-0.085988188
202131,0.71741429,1.496512639,-0.061684058
202132,0.702704775,1.481803123,-0.076393574
202133,0.709339351,1.488437699,-0.069758998
202134,0.825100249,1.604198597,0.046001901
202135,0.862691964,1.641790312,0.083593616
202136,0.627787049,1.406885397,-0.151311299
202137,0.735842247,1.514940596,-0.043256101
202138,0.726488915,1.505587263,-0.052609433
202139,0.65106958,1.430167929,-0.128028768
202140,0.654404431,1.433502779,-0.124693917
202141,0.651268545,1.430366893,-0.127829803
202142,0.683603141,1.462701489,-0.095495208
202143,0.618267293,1.397365641,-0.160831056
202144,0.721721762,1.50082011,-0.057376587
202145,0.687305778,1.466404126,-0.09179257
202146,0.627479413,1.406577761,-0.151618935
202147,0.655278423,1.434376772,-0.123819925
202148,0.698092836,1.477191184,-0.081005513
202149,0.669366399,1.448464747,-0.10973195
202150,0.635917631,1.415015979,-0.143180718
202151,0.822132441,1.601230789,0.043034093
202152,0.704873804,1.483972153,-0.074224544
202201,0.747168597,1.526266945,-0.031929751
202202,0.721612853,1.500711201,-0.057485495
202203,0.96477015,1.743868498,0.185671802
202204,0.723201909,1.502300258,-0.055896439
202205,0.874350628,1.653448977,0.09525228
202206,0.712881357,1.491979705,-0.066216991
202207,0.810825458,1.589923806,0.03172711
202208,0.629131089,1.408229438,-0.149967259
202209,0.798162542,1.577260891,0.019064194
202210,0.818609951,1.597708299,0.039511603
202211,0.804639785,1.583738133,0.025541437
202212,0.772240777,1.551339126,-0.006857571
202213,0.921031153,1.700129501,0.141932805
202214,0.792936604,1.572034953,0.013838256
202215,0.877656055,1.656754404,0.098557707
202216,0.803304866,1.582403214,0.024206517
202217,0.811149426,1.590247774,0.032051077
202218,0.743260404,1.522358752,-0.035837944
202219,0.722548636,1.501646984,-0.056549712
202220,0.817624106,1.596722454,0.038525758
202221,0.707879006,1.486977354,-0.071219342
202222,0.847233945,1.626332293,0.068135597
202223,0.783216374,1.562314722,0.004118025
202224,0.68745995,1.466558299,-0.091638398
202225,0.754392839,1.533491187,-0.024705509
202226,0.687547699,1.466646048,-0.091550649
